"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Alabama","01","2018","2018",392,4887871,8.0,8.5
,"Alabama","01","2019","2019",427,4903185,8.7,9.1
,"Alabama","01","2020","2020",629,4921532,12.8,13.7
,"Alabama","01","2021","2021",1006,5039877,20.0,21.7
,"Alabama","01","2022","2022",1114,5074296,22.0,23.7
,"Alabama","01","2023","2023",1228,5108468,24.0,26.3
,"Alabama","01","2024 (provisional)","2024",835,5108468,16.3,17.7
,"Alabama","01","2025 (provisional and partial)","2025",134,5108468,2.6,2.8
"Total","Alabama","01",,,5765,40152165,14.4,15.5
,"Alaska","02","2018","2018",82,737438,11.1,10.6
,"Alaska","02","2019","2019",100,731545,13.7,13.2
,"Alaska","02","2020","2020",123,731158,16.8,16.7
,"Alaska","02","2021","2021",216,732673,29.5,29.5
,"Alaska","02","2022","2022",204,733583,27.8,27.4
,"Alaska","02","2023","2023",309,733406,42.1,42.6
,"Alaska","02","2024 (provisional)","2024",292,733406,39.8,39.3
,"Alaska","02","2025 (provisional and partial)","2025",63,733406,8.6,8.8
"Total","Alaska","02",,,1389,5866615,23.7,23.5
,"Arizona","04","2018","2018",1159,7171646,16.2,16.6
,"Arizona","04","2019","2019",1324,7278717,18.2,18.9
,"Arizona","04","2020","2020",1952,7421401,26.3,27.7
,"Arizona","04","2021","2021",2063,7276316,28.4,29.7
,"Arizona","04","2022","2022",2006,7359197,27.3,28.5
,"Arizona","04","2023","2023",2070,7431344,27.9,28.9
,"Arizona","04","2024 (provisional)","2024",1809,7431344,24.3,25.1
,"Arizona","04","2025 (provisional and partial)","2025",552,7431344,7.4,7.7
"Total","Arizona","04",,,12935,58801309,22.0,22.9
,"Arkansas","05","2018","2018",217,3013825,7.2,7.7
,"Arkansas","05","2019","2019",208,3017804,6.9,7.3
,"Arkansas","05","2020","2020",292,3030522,9.6,10.2
,"Arkansas","05","2021","2021",394,3025891,13.0,14.0
,"Arkansas","05","2022","2022",405,3045637,13.3,14.4
,"Arkansas","05","2023","2023",320,3067732,10.4,11.1
,"Arkansas","05","2024 (provisional)","2024",194,3067732,6.3,6.6
,"Arkansas","05","2025 (provisional and partial)","2025",42,3067732,1.4,1.4
"Total","Arkansas","05",,,2072,24336875,8.5,9.1
,"California","06","2018","2018",2544,39557045,6.4,6.1
,"California","06","2019","2019",3364,39512223,8.5,8.2
,"California","06","2020","2020",5664,39368078,14.4,14.1
,"California","06","2021","2021",7338,39237836,18.7,18.2
,"California","06","2022","2022",7511,39029342,19.2,18.8
,"California","06","2023","2023",8082,38965193,20.7,20.1
,"California","06","2024 (provisional)","2024",5671,38965193,14.6,14.1
,"California","06","2025 (provisional and partial)","2025",1252,38965193,3.2,3.1
"Total","California","06",,,41426,313600103,13.2,12.8
,"Colorado","08","2018","2018",602,5695564,10.6,10.0
,"Colorado","08","2019","2019",676,5758736,11.7,11.3
,"Colorado","08","2020","2020",1012,5807719,17.4,17.0
,"Colorado","08","2021","2021",1346,5812069,23.2,22.6
,"Colorado","08","2022","2022",1236,5839926,21.2,20.4
,"Colorado","08","2023","2023",1339,5877610,22.8,22.1
,"Colorado","08","2024 (provisional)","2024",1025,5877610,17.4,16.7
,"Colorado","08","2025 (provisional and partial)","2025",264,5877610,4.5,4.4
"Total","Colorado","08",,,7500,46546844,16.1,15.6
,"Connecticut","09","2018","2018",961,3572665,26.9,27.9
,"Connecticut","09","2019","2019",1119,3565287,31.4,32.2
,"Connecticut","09","2020","2020",1261,3557006,35.5,36.3
,"Connecticut","09","2021","2021",1408,3605597,39.1,38.7
,"Connecticut","09","2022","2022",1363,3626205,37.6,37.2
,"Connecticut","09","2023","2023",1203,3617176,33.3,32.2
,"Connecticut","09","2024 (provisional)","2024",867,3617176,24.0,23.4
,"Connecticut","09","2025 (provisional and partial)","2025",173,3617176,4.8,4.5
"Total","Connecticut","09",,,8355,28778288,29.0,29.0
,"Delaware","10","2018","2018",358,967171,37.0,39.7
,"Delaware","10","2019","2019",390,973764,40.1,43.2
,"Delaware","10","2020","2020",413,986809,41.9,44.5
,"Delaware","10","2021","2021",457,1003384,45.5,48.7
,"Delaware","10","2022","2022",496,1018396,48.7,50.7
,"Delaware","10","2023","2023",465,1031890,45.1,47.7
