"Notes","Residence County","Residence County Code","Year","Year Code",Deaths,Population,Crude Rate
,"Adair County, MO","29001","2018","2018",0,25339,Unreliable
,"Adair County, MO","29001","2019","2019",0,25343,Unreliable
,"Adair County, MO","29001","2020","2020",Suppressed,25399,Suppressed
,"Adair County, MO","29001","2021","2021",Suppressed,25185,Suppressed
,"Adair County, MO","29001","2022","2022",0,25165,Unreliable
,"Adair County, MO","29001","2023","2023",Suppressed,25122,Suppressed
,"Adair County, MO","29001","2024 (provisional)","2024",0,25122,Unreliable
,"Adair County, MO","29001","2025 (provisional and partial)","2025",0,25122,Unreliable
,"Andrew County, MO","29003","2018","2018",0,17607,Unreliable
,"Andrew County, MO","29003","2019","2019",0,17712,Unreliable
,"Andrew County, MO","29003","2020","2020",0,17586,Unreliable
,"Andrew County, MO","29003","2021","2021",Suppressed,18002,Suppressed
,"Andrew County, MO","29003","2022","2022",Suppressed,18003,Suppressed
,"Andrew County, MO","29003","2023","2023",Suppressed,18127,Suppressed
,"Andrew County, MO","29003","2024 (provisional)","2024",Suppressed,18127,Suppressed
,"Andrew County, MO","29003","2025 (provisional and partial)","2025",0,18127,Unreliable
,"Atchison County, MO","29005","2018","2018",0,5171,Unreliable
,"Atchison County, MO","29005","2019","2019",0,5143,Unreliable
,"Atchison County, MO","29005","2020","2020",0,5096,Unreliable
,"Atchison County, MO","29005","2021","2021",Suppressed,5234,Suppressed
,"Atchison County, MO","29005","2022","2022",0,5182,Unreliable
,"Atchison County, MO","29005","2023","2023",0,5107,Unreliable
,"Atchison County, MO","29005","2024 (provisional)","2024",0,5107,Unreliable
,"Atchison County, MO","29005","2025 (provisional and partial)","2025",0,5107,Unreliable
,"Audrain County, MO","29007","2018","2018",Suppressed,25473,Suppressed
,"Audrain County, MO","29007","2019","2019",Suppressed,25388,Suppressed
,"Audrain County, MO","29007","2020","2020",Suppressed,24835,Suppressed
,"Audrain County, MO","29007","2021","2021",Suppressed,24982,Suppressed
,"Audrain County, MO","29007","2022","2022",Suppressed,24434,Suppressed
,"Audrain County, MO","29007","2023","2023",Suppressed,24394,Suppressed
,"Audrain County, MO","29007","2024 (provisional)","2024",Suppressed,24394,Suppressed
,"Audrain County, MO","29007","2025 (provisional and partial)","2025",0,24394,Unreliable
