board_name,board_id,name,position,city,term_end,add_info
911 Coordination Board,BoardID=2,Aimee Chase,South Dakota Chapter of the Association of Public Safety Communication Officials,Sioux Falls,6/30/2026,
911 Coordination Board,BoardID=2,Michelle DeNeui,Municipal League,Spearfish,6/30/2027,"Biography:
South Dakota Municipal League"
911 Coordination Board,BoardID=2,Dan Eich,South Dakota Telecommunications Service Provider,Sioux Falls,6/30/2028,
911 Coordination Board,BoardID=2,Curt Kabris,South Dakota Telecommunications Service Provider,Brookings,3/30/2027,
911 Coordination Board,BoardID=2,Amy Leon,Municipal League,Yankton,6/30/2026,
911 Coordination Board,BoardID=2,Stephanie Olson,South Dakota National Emergency Number Association Member,Rapid City,6/30/2025,
911 Coordination Board,BoardID=2,Kelly Serr,Sheriff,Bison,6/30/2025,"Biography:
SD Sheriff's Association"
911 Coordination Board,BoardID=2,Duane Sutton,County Commissioner,Aberdeen,6/30/2027,"Biography:
SD Association of County Commissioners"
911 Coordination Board,BoardID=2,Tim Toomey,Police Chief,Watertown,6/30/2025,"Biography:
SD Police Chief's Association"
911 Coordination Board,BoardID=2,Kristi Turman,Dept of Public Safety Member,Pierre,,
911 Coordination Board,BoardID=2,Kelli Wollmann,County Commissioner,Madison,6/30/2026,"Biography:
South Dakota Association of County Commissioners"
Abstracters' Board of Examiners,BoardID=3,Michael Larson,Abstracter,Gettysburg,,
Abstracters' Board of Examiners,BoardID=3,Terra Larson,Lay Member,Pierre,4/1/2027,
Abstracters' Board of Examiners,BoardID=3,Dan Roe,Abstracter (President),Sturgis,4/1/2027,
Abstracters' Board of Examiners,BoardID=3,Gregory Wick,Abstracter (Secretary/Treasurer),Rapid City,4/1/2027,
Abstracters' Board of Examiners,BoardID=3,Victoria Wilds,Abstracter,Sioux Falls,4/1/2027,
"Accountancy, South Dakota Board of",BoardID=4,Kelly Klein,"CPA, Member",Rapid City,10/30/2028,
"Accountancy, South Dakota Board of",BoardID=4,Holly Engelhart,"CPA, Chair",Aberdeen,10/30/2027,
"Accountancy, South Dakota Board of",BoardID=4,Catherine Harr,"CPA, Member",Brandon,10/30/2028,
"Accountancy, South Dakota Board of",BoardID=4,Russell Olson,Vice Chair,Pierre,,
"Accountancy, South Dakota Board of",BoardID=4,Priscilla Romkema,Lay Member,Spearfish,10/30/2026,
"Addiction and Prevention Professionals, Board of",BoardID=29,Belinda Grave,LAC,Huron,10/30/2027,
"Addiction and Prevention Professionals, Board of",BoardID=29,Jodi Hepperle,Licensed Addiction Counselor,Aberdeen,10/30/2026,
"Addiction and Prevention Professionals, Board of",BoardID=29,Kristi Jacobsma,Licensed Counselor,Sioux Falls,10/30/2025,
"Addiction and Prevention Professionals, Board of",BoardID=29,Kari Johnston,Lay Member,Watertown,10/30/2026,
"Addiction and Prevention Professionals, Board of",BoardID=29,Kari Joldersma,LAC,Sioux Falls,10/30/2027,
"Addiction and Prevention Professionals, Board of",BoardID=29,Tiffany Kashas,"Licensed Counselor, Certified Prevention Specialist",Vermillion,10/31/2027,
"Addiction and Prevention Professionals, Board of",BoardID=29,Kelsey Smith,Lay Member,Sturgis,10/30/2025,
"Addiction and Prevention Professionals, Board of",BoardID=29,Kari Termansen,Licensed Addiction Counselor,Mitchell,10/30/2026,
"Addiction and Prevention Professionals, Board of",BoardID=29,Jennifer Tinguely,Lay Member,Sioux Falls,10/30/2026,
Aeronautics Commission of South Dakota,BoardID=5,VACANT,,,,
Aeronautics Commission of South Dakota,BoardID=5,Dustin Coleman,Pilot,Rapid City,10/30/2027,"Biography:
Appointed 2024.
Dustin Coleman was born and raised in Wisconsin and moved to Rapid City, SD, in 2021. He holds a B.S. in Engineering Technology from the University of Wisconsin and is a pilot with a commercial license for single and multiengine land airplanes and an instrument rating. Dustin founded Cole-TAC LLC, a manufacturing company specializing in precision shooting and hunting gear. He actively uses his aviation skills to support and expand his business and has served on the Guardian Long-Range Competition board from 2020–22, an organization benefiting foster children. He currently flies a Cessna T310R and an American Champion Citaria and enjoys long-range shooting, hunting, and spending time with his wife and four children in the Black Hills."
Aeronautics Commission of South Dakota,BoardID=5,Court Ecklumd,Lay Member,Brandon,10/30/2028,"Biography:
Coming soon."
Aeronautics Commission of South Dakota,BoardID=5,David Howard,Lay Member,Winner,10/30/2026,"Biography:
David is a lifelong South Dakota resident. He holds a Bachelor of Arts degree from Dakota Wesleyan University. He is a pilot with the following ratings, CFII, MEII, ATP and is a mechanic with an inspection authorization. David was the EAA Young Eagles field representative for the State of South Dakota for 20 years and was awarded the field representative of the year in 2014 by honorary chairmen Sully Sullenberger and Jeff Skiles. David has been an airport manager for 13 years. He and his wife, Tessa, currently have a Fixed Base Operation at Winner. He loves the outdoors and spending time with family and friends."
