year,table,subcategory,species,january,february,march,april,may,june,july,august,september,october,november,december,ytd
2019,Intake,Stray,Cats,41,33,43,71,136,175,108,127,103,105,85,52,1079
2019,Intake,Stray,Dogs,59,47,55,60,61,43,51,51,29,54,57,52,619
2019,Intake,Stray,Small Animals,2,2,3,3,1,1,1,1,1,3,1,0,19
2019,Intake,Owner Surrender,Cats,56,26,39,84,41,63,33,25,15,25,10,20,437
2019,Intake,Owner Surrender,Dogs,33,31,64,50,26,45,29,27,29,31,27,29,421
2019,Intake,Owner Surrender,Small Animals,6,13,13,17,11,20,77,22,15,17,23,6,240
2019,Intake,Adoption Returns,Cats,1,1,2,2,7,1,3,3,5,2,2,0,29
2019,Intake,Adoption Returns,Dogs,5,5,9,11,10,0,4,5,7,2,7,10,75
2019,Intake,Adoption Returns,Small Animals,0,0,0,0,0,2,0,0,0,1,1,0,4
2019,Intake,Transfer In,Cats,2,4,2,3,8,5,17,10,65,17,5,4,142
2019,Intake,Transfer In,Dogs,11,13,21,18,19,15,34,33,18,30,24,13,249
2019,Intake,Transfer In,Small Animals,1,0,13,7,1,0,0,1,2,2,2,1,30
2019,Intake,Total Intake,Cats,100,64,86,160,192,244,161,165,188,149,102,76,1687
2019,Intake,Total Intake,Dogs,108,96,149,139,116,103,118,116,83,117,115,104,1364
2019,Intake,Total Intake,Small Animals,9,15,29,27,13,23,78,24,18,23,27,7,293
2019,Intake,Total Intake,Grand Totals,217,175,264,326,321,370,357,305,289,289,244,187,3344
2019,Rescue,Second Chance,Cats,0,0,0,0,1,11,4,7,0,0,7,0,30
2019,Rescue,Second Chance,Dogs,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Rescue,Second Chance,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Rescue,Second Chance,Total,0,0,0,0,1,11,4,7,0,0,7,0,30
2019,Rescue,Breed Specific,Cats,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Rescue,Breed Specific,Dogs,1,0,1,0,0,1,2,1,0,0,0,1,7
2019,Rescue,Breed Specific,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Rescue,Breed Specific,Total,1,0,1,0,0,1,2,1,0,0,0,1,7
2019,Rescue,Other Rescues,Cats,4,0,0,1,0,0,1,0,1,0,1,1,9
2019,Rescue,Other Rescues,Dogs,3,2,6,4,1,1,2,2,2,9,0,0,32
2019,Rescue,Other Rescues,Small Animals,0,0,0,0,0,0,10,0,0,1,0,0,11
2019,Rescue,Other Rescues,Total,7,2,6,5,1,1,13,2,3,10,1,1,52
2019,Rescue,Total Sent to Rescue,Cats,4,0,0,1,1,11,5,7,1,0,8,1,39
2019,Rescue,Total Sent to Rescue,Dogs,4,2,7,4,1,2,4,3,2,9,0,1,39
2019,Rescue,Total Sent to Rescue,Small Animals,0,0,0,0,0,0,10,0,0,1,0,0,11
2019,Rescue,Total Sent to Rescue,Grand Totals,8,2,7,5,2,13,19,10,3,10,8,2,89
2019,Live Release,Adoption,Cats,110,98,73,67,77,137,111,182,109,147,130,187,1428
2019,Live Release,Adoption,Dogs,76,77,92,106,95,61,87,90,87,67,79,101,1018
2019,Live Release,Adoption,Small Animals,1,17,16,12,28,14,48,35,20,24,17,28,260
2019,Live Release,Return to Owner,Cats,5,6,10,0,4,14,8,3,3,6,3,6,68
2019,Live Release,Return to Owner,Dogs,39,20,34,32,29,26,23,18,12,28,16,18,295
2019,Live Release,Return to Owner,Small Animals,0,0,0,2,1,0,0,0,0,0,0,0,3
2019,Live Release,Total Sent to Rescue,Cats,4,0,0,1,1,11,5,7,1,0,8,1,39
2019,Live Release,Total Sent to Rescue,Dogs,4,2,7,4,1,2,4,3,2,9,0,1,39
2019,Live Release,Total Sent to Rescue,Small Animals,0,0,0,0,0,0,10,0,0,2,0,0,12
2019,Live Release,Trap Neuter Release,Cats,0,3,0,2,1,5,1,4,1,9,6,3,35
2019,Live Release,Live Release Totals,Cats,119,107,83,70,83,167,125,196,114,162,147,197,1570
2019,Live Release,Live Release Totals,Dogs,119,99,133,142,125,89,114,111,101,104,95,120,1352
2019,Live Release,Live Release Totals,Small Animals,1,17,16,14,29,14,58,35,20,26,17,28,275
2019,Live Release,Live Release Totals,Grand Totals,239,223,232,226,237,270,297,342,235,292,259,345,3197
2019,Euthanasia,Owner Request,Cats,1,3,0,3,5,0,0,0,1,0,0,0,13
2019,Euthanasia,Owner Request,Dogs,0,2,0,3,1,1,1,0,1,2,0,1,12
2019,Euthanasia,Owner Request,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Health,Cats,3,0,3,4,3,4,7,11,4,2,8,3,52
2019,Euthanasia,Health,Dogs,1,2,0,0,0,1,0,1,0,0,1,0,6
2019,Euthanasia,Health,Small Animals,0,0,0,0,0,0,0,0,2,0,1,0,3
2019,Euthanasia,Died,Cats,1,1,2,6,15,8,2,6,9,9,2,0,61
2019,Euthanasia,Died,Dogs,2,0,0,0,0,0,0,0,0,0,0,0,2
2019,Euthanasia,Died,Small Animals,0,0,0,0,1,2,1,0,0,1,0,0,5
2019,Euthanasia,Behavioral,Cats,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Behavioral,Dogs,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Behavioral,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Space,Cats,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Space,Dogs,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Space,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Aggression,Cats,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Aggression,Dogs,4,1,1,2,1,4,3,3,3,2,1,1,26
2019,Euthanasia,Aggression,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Feral,Cats,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Feral,Dogs,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Feral,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Age,Cats,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Age,Dogs,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Age,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Euthanasia,Euthanasia Totals,Cats,5,4,5,13,23,12,9,17,14,11,10,3,126
2019,Euthanasia,Euthanasia Totals,Dogs,7,5,1,5,2,6,4,4,4,4,2,2,46
2019,Euthanasia,Euthanasia Totals,Small Animals,0,0,0,0,1,2,1,0,2,1,1,0,8
2019,NA,Euthanasia Totals,Grand Totals,12,9,6,18,26,20,14,21,20,16,13,5,180
2020,Intake,Stray,Cats,36,38,11,26,85,74,105,67,102,83,37,35,699
2020,Intake,Stray,Dogs,38,39,43,16,23,26,19,27,20,31,27,31,340
2020,Intake,Stray,Small Animals,1,3,3,0,1,1,2,2,0,1,0,0,14
2020,Intake,Owner Surrender,Cats,46,43,21,6,55,43,45,44,53,71,24,22,473
2020,Intake,Owner Surrender,Dogs,34,44,22,9,40,31,23,48,29,33,16,18,347
2020,Intake,Owner Surrender,Small Animals,16,17,10,2,5,19,10,9,17,21,13,7,146
2020,Intake,Adoption Returns,Cats,4,1,0,0,1,3,0,3,3,1,4,1,21
2020,Intake,Adoption Returns,Dogs,6,12,3,2,7,6,8,6,3,4,5,6,68
2020,Intake,Adoption Returns,Small Animals,1,1,5,0,0,0,0,0,0,0,0,2,9
2020,Intake,Transfer In,Cats,6,3,9,6,3,8,11,16,8,8,5,4,87
2020,Intake,Transfer In,Dogs,31,22,48,22,15,27,25,33,24,37,21,19,324
2020,Intake,Transfer In,Small Animals,1,55,6,0,0,1,8,2,6,0,0,0,79
2020,Intake,Total Intake,Cats,92,85,41,38,144,128,161,130,166,163,70,62,1280
2020,Intake,Total Intake,Dogs,109,117,116,49,85,90,75,114,76,105,69,74,1079
2020,Intake,Total Intake,Small Animals,19,76,24,2,6,21,20,13,23,22,13,9,248
2020,Intake,Total Intake,Grand Totals,220,278,181,89,235,239,256,257,265,290,152,145,2607
2020,Rescue,Second Chance,Cats,0,0,1,1,0,0,0,0,0,0,0,0,2
2020,Rescue,Second Chance,Dogs,0,0,0,0,0,0,0,0,0,2,0,0,2
2020,Rescue,Second Chance,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Rescue,Second Chance,Total,0,0,1,1,0,0,0,0,0,2,0,0,4
2020,Rescue,Breed Specific,Cats,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Rescue,Breed Specific,Dogs,3,2,0,0,0,0,0,0,1,0,1,0,7
2020,Rescue,Breed Specific,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Rescue,Breed Specific,Total,3,2,0,0,0,0,0,0,1,0,1,0,7
2020,Rescue,Other Rescues,Cats,0,0,2,0,0,0,0,0,0,0,0,0,2
2020,Rescue,Other Rescues,Dogs,1,2,0,1,1,1,0,0,2,4,0,0,12
2020,Rescue,Other Rescues,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Rescue,Other Rescues,Total,1,2,2,1,1,0,0,0,2,4,0,0,13
2020,Rescue,Total Sent to Rescue,Cats,0,0,3,1,0,0,0,0,0,0,0,0,4
2020,Rescue,Total Sent to Rescue,Dogs,4,4,0,1,1,1,0,0,3,6,1,0,21
2020,Rescue,Total Sent to Rescue,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Rescue,Total Sent to Rescue,Grand Totals,4,4,3,2,1,1,0,0,3,6,1,0,25
2020,Live Release,Adoption,Cats,126,106,49,31,36,91,111,134,106,141,128,142,1201
2020,Live Release,Adoption,Dogs,78,104,79,72,60,77,71,63,79,70,59,72,884
2020,Live Release,Adoption,Small Animals,15,35,50,21,12,15,23,12,15,11,21,11,241
2020,Live Release,Return to Owner,Cats,4,2,0,1,2,6,4,4,5,6,1,2,37
2020,Live Release,Return to Owner,Dogs,23,17,22,5,12,16,15,6,14,22,14,16,182
2020,Live Release,Return to Owner,Small Animals,0,0,0,0,0,0,2,0,0,0,0,0,2
2020,Live Release,Total Sent to Rescue,Cats,0,0,3,1,0,0,0,0,0,0,0,0,4
2020,Live Release,Total Sent to Rescue,Dogs,4,4,0,1,1,1,0,0,3,6,1,0,21
2020,Live Release,Total Sent to Rescue,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Live Release,Trap Neuter Release,Cats,4,0,1,0,1,0,1,1,1,0,0,0,9
2020,Live Release,Live Release Totals,Cats,134,108,53,33,39,97,116,139,112,147,129,144,1251
2020,Live Release,Live Release Totals,Dogs,105,125,101,78,73,94,86,69,96,98,74,88,1087
2020,Live Release,Live Release Totals,Small Animals,15,35,50,21,12,15,25,12,15,11,21,11,243
2020,Euthanasia,Live Release Totals,Grand Totals,254,268,204,132,124,206,227,220,223,256,224,243,2581
2020,Euthanasia,Owner Request,Cats,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Euthanasia,Owner Request,Dogs,1,2,2,0,0,0,0,0,0,0,0,0,5
2020,Euthanasia,Owner Request,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Euthanasia,Health,Cats,0,1,3,0,2,2,2,3,2,3,5,2,25
2020,Euthanasia,Health,Dogs,3,0,1,0,0,0,0,0,1,0,0,0,5
2020,Euthanasia,Health,Small Animals,0,1,0,0,1,0,0,0,0,0,0,0,2
2020,Euthanasia,Died,Cats,1,1,0,0,2,3,10,4,20,1,0,1,43
2020,Euthanasia,Died,Dogs,0,0,0,1,1,0,0,0,0,1,0,0,3
2020,Euthanasia,Died,Small Animals,0,0,0,0,0,0,0,4,1,1,2,1,9
2020,Euthanasia,Behavioral,Cats,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Euthanasia,Behavioral,Dogs,0,0,0,0,0,0,0,0,0,0,1,0,1
2020,Euthanasia,Behavioral,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Euthanasia,Space,Cats,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Euthanasia,Space,Dogs,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Euthanasia,Space,Small Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
